"Policy_ID","Customer_Segment","Product","Channel","Region","Issue_Date","Due_Date","Payment_Date","Month","Premium_TRY","Collected_TRY","Outstanding_TRY","Payment_Status","Days_Late","Aging_Bucket","Currency","Agent_ID","Risk_Score","Renewal_Flag"
"POL-00001","Bireysel","Trafik","Acente","Karadeniz","2025-04-03","2025-04-17","2025-04-15","2025-04","7380","7380","0","Paid On Time","0","Not Applicable","TRY","AG-06","54","Yes"
"POL-00002","Bireysel","Kasko","Acente","Ege","2025-01-07","2025-01-26","2025-01-23","2025-01","22520","22520","0","Paid On Time","0","Not Applicable","TRY","AG-16","47","Yes"
"POL-00003","KOBİ","Sağlık","Çağrı Merkezi","İç Anadolu","2025-10-13","2025-11-04","2025-11-03","2025-10","58750","58750","0","Paid On Time","0","Not Applicable","TRY","AG-14","51","Yes"
"POL-00004","Bireysel","Trafik","Acente","Akdeniz","2025-01-01","2025-01-15","2025-01-13","2025-01","9930","9930","0","Paid On Time","0","Not Applicable","TRY","AG-16","40","Yes"
"POL-00005","Bireysel","Trafik","Banka","İç Anadolu","2025-09-17","2025-10-16","","2025-09","9150","0","9150","Cancelled","0","Not Applicable","TRY","AG-10","38","No"
"POL-00006","Bireysel","Kasko","Acente","Marmara","2025-05-15","2025-06-13","2025-06-09","2025-05","24020","24020","0","Paid On Time","0","Not Applicable","TRY","AG-01","66","Yes"
"POL-00007","Kurumsal","Sağlık","Acente","Ege","2025-02-11","2025-03-01","2025-03-30","2025-02","111310","111310","0","Paid Late","29","Not Applicable","EUR","AG-15","60","Yes"
"POL-00008","Bireysel","Seyahat","Acente","Ege","2025-07-07","2025-07-29","2025-07-27","2025-07","2690","2690","0","Paid On Time","0","Not Applicable","TRY","AG-04","46","Yes"
"POL-00009","Bireysel","Trafik","Banka","Marmara","2025-11-16","2025-12-14","2025-12-11","2025-11","7000","7000","0","Paid On Time","0","Not Applicable","TRY","AG-05","48","Yes"
"POL-00010","Bireysel","Kasko","Banka","İç Anadolu","2025-03-17","2025-04-10","","2025-03","23830","0","23830","Cancelled","0","Not Applicable","TRY","AG-02","53","No"
"POL-00011","Bireysel","Trafik","Acente","Marmara","2025-12-05","2026-01-04","2026-01-03","2025-12","10110","10110","0","Paid On Time","0","Not Applicable","TRY","AG-18","57","Yes"
